listeners,mbid,name,playcount,streamable,url,tags
2117123,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,Portishead,84845021,0,https://www.last.fm/music/Portishead,"trip-hop, electronic, female vocalists"
2116238,bbc5b66b-d037-4f26-aecf-0b129e7f876a,Jimmy Eat World,70506666,0,https://www.last.fm/music/Jimmy+Eat+World,"rock, alternative, emo"
2110465,f46bd570-5768-462e-b84c-c7c993bbf47e,Eagles,35703773,0,https://www.last.fm/music/Eagles,"classic rock, rock, 70s"
2107742,7e9bd05a-117f-4cce-87bc-e011527a8b18,Miley Cyrus,71469453,0,https://www.last.fm/music/Miley+Cyrus,"pop, female vocalists, Disney"
2106856,e2c00c56-8365-4160-9f40-a64682917633,Goo Goo Dolls,39119632,0,https://www.last.fm/music/Goo+Goo+Dolls,"rock, alternative rock, alternative"
2106501,1036b808-f58c-4a3e-b461-a2c4492ecf1b,Nicki Minaj,74291212,0,https://www.last.fm/music/Nicki+Minaj,"Hip-Hop, rap, rnb"
2104758,d5d97b2b-b83b-4976-814a-056d9076c8c3,The Notorious B.I.G.,41605293,0,https://www.last.fm/music/The+Notorious+B.I.G.,"Hip-Hop, rap, Gangsta Rap"
2098920,c3f28da8-662d-4f09-bdc7-3084bf685930,Iron & Wine,73287741,0,https://www.last.fm/music/Iron+&+Wine,"folk, indie, singer-songwriter"
2084001,d4d17620-fd97-4574-92a8-a2cb7e72ce42,The Verve,34664576,0,https://www.last.fm/music/The+Verve,"britpop, rock, alternative"
2059713,ec5bae34-cd8d-47cb-aa66-60bc0fdce77b,Phoenix,79742886,0,https://www.last.fm/music/Phoenix,"indie, french, indie pop"
2054297,606bf117-494f-4864-891f-09d63ff6aa4b,Rise Against,144313557,0,https://www.last.fm/music/Rise+Against,"punk rock, punk, melodic hardcore"
2043596,fbd2a255-1d57-4d31-ac11-65b671c19958,No Doubt,41645037,0,https://www.last.fm/music/No+Doubt,"rock, pop, ska"
2038289,baec7ed1-32d7-482d-9455-33c403e61952,The Game,29603994,0,https://www.last.fm/music/The+Game,"rap, Hip-Hop, Gangsta Rap"
2028878,d262ea27-3ffe-40f7-b922-85c42d625e67,Pitbull,34417050,0,https://www.last.fm/music/Pitbull,"Hip-Hop, rap, Reggaeton"
2026089,437a0e49-c6ae-42f6-a6c1-84f25ed366bc,Bon Iver,124024384,0,https://www.last.fm/music/Bon+Iver,"folk, indie, singer-songwriter"
2015391,1c70a3fc-fa3c-4be1-8b55-c3192db8a884,Röyksopp,74331662,0,https://www.last.fm/music/R%C3%B6yksopp,"electronic, chillout, ambient"
2012164,9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,Joy Division,103086408,0,https://www.last.fm/music/Joy+Division,"post-punk, new wave, 80s"
2009786,94b0fb9d-a066-4823-b2ec-af1d324bcfcf,The Velvet Underground,62667842,0,https://www.last.fm/music/The+Velvet+Underground,"rock, classic rock, psychedelic"
2007970,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,Bob Marley,63629892,0,https://www.last.fm/music/Bob+Marley,"reggae, roots reggae, Bob Marley"
1990677,01d3c51b-9b98-418a-8d8e-37f6fab59d8c,Sufjan Stevens,128340497,0,https://www.last.fm/music/Sufjan+Stevens,"indie, folk, singer-songwriter"
1987644,33ca19f4-18c8-4411-98df-ac23890ce9f5,Ellie Goulding,84886760,0,https://www.last.fm/music/Ellie+Goulding,"female vocalists, electronic, british"
1981242,cfbc0924-0035-4d6c-8197-f024653af823,Nas,50564494,0,https://www.last.fm/music/Nas,"Hip-Hop, rap, hip hop"
1978365,2fddb92d-24b2-46a5-bf28-3aed46f4684c,Kylie Minogue,71783825,0,https://www.last.fm/music/Kylie+Minogue,"pop, dance, female vocalists"
1974538,b7539c32-53e7-4908-bda3-81449c367da6,Lana Del Rey,238756889,0,https://www.last.fm/music/Lana+Del+Rey,"female vocalists, indie, indie pop"
1968201,afdb7919-059d-43c1-b668-ba1d265e7e42,Marvin Gaye,33296288,0,https://www.last.fm/music/Marvin+Gaye,"soul, motown, funk"
1965860,4bd95eea-b9f6-4d70-a36c-cfea77431553,Alice in Chains,82869096,0,https://www.last.fm/music/Alice+in+Chains,"Grunge, rock, alternative rock"
1959187,c544ed4d-2390-4442-a83e-1ea2883b09c8,Lynyrd Skynyrd,32121203,0,https://www.last.fm/music/Lynyrd+Skynyrd,"classic rock, Southern Rock, rock"
1958255,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,Bob Marley & The Wailers,62929230,0,https://www.last.fm/music/Bob+Marley+&+The+Wailers,"reggae, roots reggae, ska"
1957383,c5c2ea1c-4bde-4f4d-bd0b-47b200bf99d6,The xx,143755272,0,https://www.last.fm/music/The+xx,"indie, electronic, british"
1942980,6d7b7cd4-254b-4c25-83f6-dd20f98ceacd,M83,85200520,0,https://www.last.fm/music/M83,"electronic, shoegaze, post-rock"
1919493,daa09819-5da5-4c7a-8bef-eb372bb27ff1,Timbaland,30145370,0,https://www.last.fm/music/Timbaland,"Hip-Hop, rnb, rap"
1915922,153c9281-268f-4cf3-8938-f5a4593e5df4,Soundgarden,46899507,0,https://www.last.fm/music/Soundgarden,"Grunge, rock, alternative rock"
1912961,6de0f914-3e60-4418-be3b-42e0feb6eb4d,Jason Derülo,28330987,0,https://www.last.fm/music/Jason+Der%C3%BClo,"rnb, pop, male vocalists"
1897874,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,Bruno Mars,56147347,0,https://www.last.fm/music/Bruno+Mars,"pop, rnb, male vocalists"
1874102,be212372-2e70-429a-bd5c-86239716edc4,Cream,25195659,0,https://www.last.fm/music/Cream,"classic rock, blues rock, rock"
1868429,e273f427-3287-472d-84fe-1a9f2f91e5e2,Train,27860851,0,https://www.last.fm/music/Train,"rock, alternative rock, alternative"
1864395,401c3991-b76b-499d-8082-9f2df958ef78,Phil Collins,31690081,0,https://www.last.fm/music/Phil+Collins,"pop, 80s, rock"
1858166,4f9675d2-f6d5-486c-9b26-33dcca998500,Fergie,22402511,0,https://www.last.fm/music/Fergie,"pop, rnb, female vocalists"
1857864,b22d45dd-deae-4663-a782-542db02e25cf,M.I.A.,59519364,0,https://www.last.fm/music/M.I.A.,"Hip-Hop, electronic, female vocalists"
1852539,d6ed7887-a401-47a8-893c-34b967444d26,Ramones,73376048,0,https://www.last.fm/music/Ramones,"punk, punk rock, rock"
1852000,f1106b17-dcbb-45f6-b938-199ccfab50cc,New Order,55950724,0,https://www.last.fm/music/New+Order,"new wave, electronic, post-punk"
